            White Pawn to 4, 2 = 0.115385
            White King to 4, 6 = -0.256227
            White Pawn to 5, 4 = -0.05
            White Pawn to 7, 4 = 0.177778
            White Pawn to 5, 5 = 0.114286
            White Knight to 0, 5 = 0.416667
            White Bishop to 4, 6 = 0.395147
            White Bishop to 3, 5 = 0.487179
            White Bishop to 2, 4 = 0.487179
            White Bishop to 1, 3 = 0.448718
            White Bishop to 0, 2 = 0.333333
            White Knight to 2, 5 = 0.716667
            White Knight to 5, 5 = 0.680952
            White Knight to 7, 5 = 0.416667
            White Knight to 4, 6 = 0.309249
            White Queen to 4, 6 = -0.362179
            White Queen to 5, 5 = -0.10119
            White Queen to 6, 4 = -0.1163
            White Queen to 7, 3 = -0.22619
        Black Pawn to 3, 4 = 0.716667
    White Pawn to 4, 3 = 0.716667
            White Pawn to 3, 4 = -0.721551
            White Pawn to 0, 4 = -0.680159
            White Pawn to 6, 4 = -0.687759
            White Pawn to 6, 5 = -0.408364
            White Pawn to 5, 4 = -1.05794
            White Pawn to 5, 5 = -0.743651
            White Pawn to 1, 4 = -0.708364
            White Pawn to 1, 5 = -0.408364
            White King to 4, 6 = -1.11416
            White Pawn to 2, 4 = -0.788034
            White Pawn to 2, 5 = -0.411111
            White Pawn to 0, 5 = -0.563492
            White Pawn to 7, 3 = -0.824603
            White Pawn to 3, 5 = -0.633761
            White Bishop to 2, 4 = -0.370757
            White Knight to 5, 5 = -0.176984
            White Knight to 7, 5 = -0.474603
            White Knight to 4, 6 = -0.548687
            White Bishop to 0, 2 = -0.524603
            White Bishop to 1, 3 = -0.409219
            White Knight to 0, 5 = -0.44127
            White Bishop to 3, 5 = -0.468284
            White Bishop to 4, 6 = -0.46279
            White Knight to 2, 5 = -0.14127
            White Rook to 7, 6 = -0.574603
            White Rook to 7, 5 = -0.524603
            White Queen to 4, 6 = -1.23797
            White Queen to 5, 5 = -1.0127
            White Queen to 6, 4 = -0.992094
            White Queen to 7, 3 = -1.04841
        Black Pawn to 4, 4 = -0.14127
    White Pawn to 7, 4 = -0.14127
            White Pawn to 3, 4 = -0.749756
            White King to 4, 6 = -1.14237
            White Pawn to 7, 5 = -0.591697
            White Pawn to 7, 4 = -0.708364
            White Pawn to 5, 5 = -0.771856
            White Pawn to 5, 4 = -1.08614
            White Pawn to 6, 5 = -0.436569
            White Pawn to 6, 4 = -0.715965
            White Pawn to 3, 5 = -0.550855
            White Pawn to 0, 4 = -0.708364
            White Pawn to 0, 5 = -0.591697
            White Pawn to 1, 3 = -0.924603
            White Pawn to 2, 5 = -0.439316
            White Pawn to 2, 4 = -0.816239
            White Knight to 2, 5 = -0.169475
            White Knight to 0, 5 = -0.469475
            White Bishop to 1, 6 = -0.342643
            White Bishop to 0, 5 = -0.534951
            White Bishop to 0, 2 = -0.552808
            White Bishop to 1, 3 = -0.437424
            White Bishop to 2, 4 = -0.398962
            White Bishop to 3, 5 = -0.49649
            White Bishop to 4, 6 = -0.490995
            White Knight to 5, 5 = -0.205189
            White Knight to 7, 5 = -0.469475
            White Knight to 4, 6 = -0.576893
            White Queen to 4, 6 = -1.26618
            White Queen to 7, 3 = -1.0409
            White Queen to 6, 4 = -1.0203
            White Queen to 5, 5 = -1.0409
        Black Pawn to 4, 4 = -0.169475
    White Pawn to 1, 4 = -0.169475
            White Pawn to 3, 4 = -0.449756
            White Pawn to 2, 4 = -0.534096
            White Pawn to 6, 5 = -0.136569
            White Pawn to 6, 4 = -0.415965
            White King to 4, 6 = -0.842369
            White Pawn to 7, 5 = -0.291697
            White Pawn to 3, 5 = -0.250855
            White Pawn to 0, 4 = -0.408364
            White Pawn to 0, 5 = -0.591697
            White Pawn to 7, 4 = -0.408364
            White Pawn to 5, 5 = -0.471856
            White Pawn to 5, 4 = -0.786142
            White Pawn to 1, 4 = -0.886142
            White Pawn to 2, 5 = -0.457173
            White Bishop to 0, 2 = -0.252808
            White Knight to 0, 5 = -0.169475
            White Knight to 2, 5 = 0.130525
            White Bishop to 0, 5 = -0.119567
            White Bishop to 1, 6 = -0.0426435
            White Bishop to 1, 3 = -0.137424
            White Bishop to 2, 4 = -0.137424
            White Bishop to 3, 5 = -0.19649
            White Bishop to 4, 6 = -0.190995
            White Knight to 5, 5 = 0.0948107
            White Knight to 7, 5 = -0.169475
            White Knight to 4, 6 = -0.276893
            White Queen to 4, 6 = -0.966178
            White Queen to 7, 3 = -0.740904
            White Queen to 6, 4 = -0.720299
            White Queen to 5, 5 = -0.758761
        Black Pawn to 4, 4 = 0.130525
    White Pawn to 1, 5 = 0.130525
            White Pawn to 3, 4 = -0.829426
            White Pawn to 0, 5 = -0.671368
            White Pawn to 5, 4 = -1.16581
            White Pawn to 5, 5 = -0.851526
            White Pawn to 7, 4 = -0.788034
            White Pawn to 7, 5 = -0.671368
            White King to 4, 6 = -1.14512
            White Pawn to 6, 4 = -0.795635
            White Pawn to 6, 5 = -0.516239
            White Pawn to 2, 3 = -0.888889
            White Pawn to 1, 4 = -0.816239
            White Pawn to 1, 5 = -0.534096
            White Pawn to 0, 4 = -0.788034
            White Pawn to 3, 5 = -0.664713
            White Bishop to 3, 5 = -0.537698
            White Bishop to 4, 6 = -0.570665
            White Knight to 5, 5 = -0.28486
            White Knight to 2, 5 = -0.249145
            White Knight to 0, 5 = -0.549145
            White Knight to 7, 5 = -0.549145
            White Knight to 4, 6 = -0.57964
            White Queen to 2, 6 = -1.28129
            White Queen to 7, 3 = -1.15629
            White Queen to 6, 4 = -1.13568
            White Queen to 5, 5 = -1.15629
            White Queen to 4, 6 = -1.34035
            White Queen to 0, 4 = -1.22772
            White Queen to 1, 5 = -1.17415
        Black Pawn to 4, 4 = -0.249145
    White Pawn to 2, 4 = -0.249145
            White Pawn to 3, 4 = -0.452503
            White Pawn to 3, 5 = -0.664713
            White Pawn to 5, 4 = -0.788889
            White Pawn to 5, 5 = -0.474603
            White Pawn to 7, 4 = -0.411111
            White Pawn to 7, 5 = -0.294444
            White King to 4, 6 = -0.845116
            White Pawn to 6, 4 = -0.418712
            White Pawn to 6, 5 = -0.139316
            White Pawn to 2, 4 = -0.965812
            White Pawn to 0, 4 = -0.411111
            White Pawn to 0, 5 = -0.294444
            White Pawn to 1, 4 = -0.439316
            White Pawn to 1, 5 = -0.457173
            White Bishop to 0, 2 = -0.255556
            White Bishop to 1, 3 = -0.140171
            White Bishop to 2, 4 = -0.101709
            White Bishop to 3, 5 = -0.160775
            White Bishop to 4, 6 = -0.193742
            White Knight to 5, 5 = 0.0920635
            White Knight to 7, 5 = -0.172222
            White Knight to 0, 5 = -0.172222
            White Knight to 4, 6 = -0.27964
            White Queen to 2, 6 = -0.922222
            White Queen to 7, 3 = -0.779365
            White Queen to 6, 4 = -0.758761
            White Queen to 5, 5 = -0.815079
            White Queen to 4, 6 = -1.00464
            White Queen to 0, 4 = -0.815079
            White Queen to 1, 5 = -0.832937
